Period,Year,All,Ag,Retail,AgShare,RetailShare,COFactor,NumBusinesses,COAgBus,CORetailBus,,,,,
Jul-04,2004,159034,2195,20155,1.38%,12.67%,,,,,,,,,
Aug-04,2004,191673,2513,23867,1.31%,12.45%,,,,,,,,,
Sep-04,2004,190868,2683,23763,1.41%,12.45%,,,,,,,,,
Oct-04,2004,190626,2243,23594,1.18%,12.38%,,,,,,,,,
Nov-04,2004,211251,2514,26597,1.19%,12.59%,,,,,,,,,
Dec-04,2004,193836,2118,24048,1.09%,12.41%,,,,,,,,,
Jan-05,2005,203534,2431,24529,1.19%,12.05%,0.022462467,4572,55,551,,,,,
Feb-05,2005,204535,2430,25167,1.19%,12.30%,0.022462467,4594,55,565,,,,,
Mar-05,2005,201700,2443,24993,1.21%,12.39%,0.022462467,4531,55,561,,,,,
Apr-05,2005,203983,2474,24985,1.21%,12.25%,0.022462467,4582,56,561,,,,,
May-05,2005,203401,2392,25075,1.18%,12.33%,0.022462467,4569,54,563,,,,,
Jun-05,2005,209615,2453,25358,1.17%,12.10%,0.022462467,4708,55,570,,,,,
Jul-05,2005,207448,2282,24975,1.10%,12.04%,0.022462467,4660,51,561,,,,,
Aug-05,2005,204303,2340,24845,1.15%,12.16%,0.022462467,4589,53,558,,,,,
Sep-05,2005,184171,1812,21673,0.98%,11.77%,0.022462467,4137,41,487,,,,,
Oct-05,2005,230042,2382,27654,1.04%,12.02%,0.022462467,5167,54,621,,,,,
Nov-05,2005,222495,2433,26414,1.09%,11.87%,0.022462467,4998,55,593,,,,,
Dec-05,2005,234221,2616,27915,1.12%,11.92%,0.022462467,5261,59,627,,,,,
Jan-06,2006,218466,2448,25702,1.12%,11.76%,0.022501497,4916,55,578,,,,,
Feb-06,2006,225936,2518,26297,1.11%,11.64%,0.022501497,5084,57,592,,,,,
Mar-06,2006,222573,2510,25897,1.13%,11.64%,0.022501497,5008,56,583,,,,,
Apr-06,2006,223168,2464,26215,1.10%,11.75%,0.022501497,5022,55,590,,,,,
May-06,2006,221849,2487,25872,1.12%,11.66%,0.022501497,4992,56,582,,,,,
Jun-06,2006,217751,2371,25751,1.09%,11.83%,0.022501497,4900,53,579,,,,,
Jul-06,2006,219666,2469,26088,1.12%,11.88%,0.022501497,4943,56,587,,,,,
Aug-06,2006,218558,2449,25852,1.12%,11.83%,0.022501497,4918,55,582,,,,,
Sep-06,2006,211803,2163,25038,1.02%,11.82%,0.022501497,4766,49,563,,,,,
Oct-06,2006,206248,2276,25166,1.10%,12.20%,0.022501497,4641,51,566,,,,,
Nov-06,2006,202280,2260,24554,1.12%,12.14%,0.022501497,4552,51,553,,,,,
Dec-06,2006,247474,3139,29010,1.27%,11.72%,0.022501497,5569,71,653,,,,,
Jan-07,2007,208770,2150,24807,1.03%,11.88%,0.023080298,4818,50,573,,,,,
Feb-07,2007,217822,2645,26007,1.21%,11.94%,0.023080298,5027,61,600,,,,,
Mar-07,2007,216126,2551,25772,1.18%,11.92%,0.023080298,4988,59,595,,,,,
Apr-07,2007,214397,2572,25648,1.20%,11.96%,0.023080298,4948,59,592,,,,,
May-07,2007,220440,2651,26392,1.20%,11.97%,0.023080298,5088,61,609,,,,,
Jun-07,2007,221338,2616,26792,1.18%,12.10%,0.023080298,5109,60,618,,,,,
Jul-07,2007,220866,2775,26695,1.26%,12.09%,0.023080298,5098,64,616,,,,,
Aug-07,2007,218064,2630,26191,1.21%,12.01%,0.023080298,5033,61,604,,,,,
Sep-07,2007,226061,2769,27728,1.22%,12.27%,0.023080298,5218,64,640,,,,,
Oct-07,2007,232630,2820,30489,1.21%,13.11%,0.023080298,5369,65,704,,,,,
Nov-07,2007,213484,2657,27638,1.24%,12.95%,0.023080298,4927,61,638,,,,,
Dec-07,2007,245556,3216,31600,1.31%,12.87%,0.023080298,5668,74,729,,,,,
Jan-08,2008,208848,2694,27705,1.29%,13.27%,0.023428883,4893,63,649,,,,,
Feb-08,2008,210463,2628,27442,1.25%,13.04%,0.023428883,4931,62,643,,,,,
Mar-08,2008,220328,2713,28716,1.23%,13.03%,0.023428883,5162,64,673,,,,,
Apr-08,2008,219159,2787,28625,1.27%,13.06%,0.023428883,5135,65,671,,,,,
May-08,2008,215730,2674,28408,1.24%,13.17%,0.023428883,5054,63,666,,,,,
Jun-08,2008,210507,2736,27254,1.30%,12.95%,0.023428883,4932,64,639,,,,,
Jul-08,2008,209704,2740,27888,1.31%,13.30%,0.023428883,4913,64,653,,,,,
Aug-08,2008,222233,2952,29048,1.33%,13.07%,0.023428883,5207,69,681,,,,,
Sep-08,2008,210480,2787,28240,1.32%,13.42%,0.023428883,4931,65,662,,,,,
Oct-08,2008,204785,2697,26982,1.32%,13.18%,0.023428883,4798,63,632,,,,,
Nov-08,2008,204519,2644,27221,1.29%,13.31%,0.023428883,4792,62,638,,,,,
Dec-08,2008,187029,2344,24245,1.25%,12.96%,0.023428883,4382,55,568,,,,,
Jan-09,2009,208348,2758,27771,1.32%,13.33%,0.024293522,5062,67,675,,,,,
Feb-09,2009,195440,2523,26055,1.29%,13.33%,0.024293522,4748,61,633,,,,,
Mar-09,2009,198658,2776,26508,1.40%,13.34%,0.024293522,4826,67,644,,,,,
Apr-09,2009,198884,2673,26852,1.34%,13.50%,0.024293522,4832,65,652,,,,,
May-09,2009,199777,2646,27497,1.32%,13.76%,0.024293522,4853,64,668,,,,,
Jun-09,2009,202944,2893,28070,1.43%,13.83%,0.024293522,4930,70,682,,,,,
Jul-09,2009,207224,2505,28806,1.21%,13.90%,0.024293522,5034,61,700,,,,,
Aug-09,2009,201371,2501,28264,1.24%,14.04%,0.024293522,4892,61,687,,,,,
Sep-09,2009,205856,2400,28274,1.17%,13.73%,0.024293522,5001,58,687,,,,,
Oct-09,2009,203325,2451,28336,1.21%,13.94%,0.024293522,4939,60,688,,,,,
Nov-09,2009,207656,2418,28946,1.16%,13.94%,0.024293522,5045,59,703,,,,,
Dec-09,2009,201220,2348,27136,1.17%,13.49%,0.024293522,4888,57,659,,,,,
Jan-10,2010,201825,2387,27463,1.18%,13.61%,0.024713604,4988,59,679,,,,,
Feb-10,2010,202672,2492,27520,1.23%,13.58%,0.024713604,5009,62,680,,,,,
Mar-10,2010,203410,2411,27613,1.19%,13.58%,0.024713604,5027,60,682,,,,,
Apr-10,2010,206262,2488,27903,1.21%,13.53%,0.024713604,5097,61,690,,,,,
May-10,2010,210824,2634,28411,1.25%,13.48%,0.024713604,5210,65,702,,,,,
Jun-10,2010,204748,2608,27652,1.27%,13.51%,0.024713604,5060,64,683,,,,,
Jul-10,2010,207536,2629,28044,1.27%,13.51%,0.024713604,5129,65,693,,,,,
Aug-10,2010,207427,2710,28210,1.31%,13.60%,0.024713604,5126,67,697,,,,,
Sep-10,2010,213933,2682,29110,1.25%,13.61%,0.024713604,5287,66,719,,,,,
Oct-10,2010,213750,2646,29383,1.24%,13.75%,0.024713604,5283,65,726,,,,,
Nov-10,2010,221390,2889,30451,1.30%,13.75%,0.024713604,5471,71,753,,,,,
Dec-10,2010,206073,2780,28695,1.35%,13.92%,0.024713604,5093,69,709,,,,,
Jan-11,2011,220124,2911,30552,1.32%,13.88%,0.023222659,5112,68,709,,,,,
Feb-11,2011,224489,3024,31353,1.35%,13.97%,0.023222659,5213,70,728,,,,,
Mar-11,2011,213492,2856,29728,1.34%,13.92%,0.023222659,4958,66,690,,,,,
Apr-11,2011,213814,2804,29932,1.31%,14.00%,0.023222659,4965,65,695,,,,,
May-11,2011,186332,2401,25309,1.29%,13.58%,0.023222659,4327,56,588,,,,,
Jun-11,2011,219829,2930,30113,1.33%,13.70%,0.023222659,5105,68,699,,,,,
Jul-11,2011,216542,2792,29776,1.29%,13.75%,0.023222659,5029,65,691,,,,,
Aug-11,2011,212927,2611,29095,1.23%,13.66%,0.023222659,4945,61,676,,,,,
Sep-11,2011,212354,2680,29591,1.26%,13.93%,0.023222659,4931,62,687,,,,,
Oct-11,2011,205461,2688,29231,1.31%,14.23%,0.023222659,4771,62,679,,,,,
Nov-11,2011,221107,2858,32379,1.29%,14.64%,0.023222659,5135,66,752,,,,,
Dec-11,2011,228952,3158,32505,1.38%,14.20%,0.023222659,5317,73,755,,,,,
Jan-12,2012,184968,2542,25106,1.37%,13.57%,0.023687182,4381,60,595,,,,,
Feb-12,2012,214577,2943,29421,1.37%,13.71%,0.023687182,5083,70,697,,,,,
Mar-12,2012,217047,3024,30535,1.39%,14.07%,0.023687182,5141,72,723,,,,,
Apr-12,2012,217815,2967,30013,1.36%,13.78%,0.023687182,5159,70,711,,,,,
May-12,2012,220630,3030,30594,1.37%,13.87%,0.023687182,5226,72,725,,,,,
Jun-12,2012,208399,2834,28962,1.36%,13.90%,0.023687182,4936,67,686,,,,,
Jul-12,2012,208097,2904,29175,1.40%,14.02%,0.023687182,4929,69,691,,,,,
Aug-12,2012,208757,2836,28710,1.36%,13.75%,0.023687182,4945,67,680,,,,,
Sep-12,2012,206909,3030,28622,1.46%,13.83%,0.023687182,4901,72,678,,,,,
Oct-12,2012,212331,3036,29462,1.43%,13.88%,0.023687182,5030,72,698,,,,,
Nov-12,2012,202186,2853,28237,1.41%,13.97%,0.023687182,4789,68,669,,,,,
Dec-12,2012,275276,4796,36546,1.74%,13.28%,0.023687182,6521,114,866,,,,,
Jan-13,2013,219469,3426,29945,1.56%,13.64%,0.024511658,5380,84,734,,,,,
Feb-13,2013,212097,2918,29590,1.38%,13.95%,0.024511658,5199,72,725,,,,,
Mar-13,2013,216859,2915,30013,1.34%,13.84%,0.024511658,5316,71,736,,,,,
Apr-13,2013,213246,3030,29691,1.42%,13.92%,0.024511658,5227,74,728,,,,,
May-13,2013,207167,2848,28667,1.37%,13.84%,0.024511658,5078,70,703,,,,,
Jun-13,2013,216911,2916,30006,1.34%,13.83%,0.024511658,5317,71,735,,,,,
Jul-13,2013,218122,3008,30306,1.38%,13.89%,0.024511658,5347,74,743,,,,,
Aug-13,2013,221508,3135,31632,1.42%,14.28%,0.024511658,5430,77,775,,,,,
Sep-13,2013,212733,2810,29770,1.32%,13.99%,0.024511658,5214,69,730,,,,,
Oct-13,2013,223182,2996,31595,1.34%,14.16%,0.024511658,5471,73,774,,,,,
Nov-13,2013,221861,3067,30997,1.38%,13.97%,0.024511658,5438,75,760,,,,,
Dec-13,2013,228837,3331,31961,1.46%,13.97%,0.024511658,5609,82,783,,,,,
Jan-14,2014,209170,2832,28710,1.35%,13.73%,0.025782904,5393,73,740,,,,,
Feb-14,2014,222365,2872,31275,1.29%,14.06%,0.025782904,5733,74,806,,,,,
Mar-14,2014,228169,3119,31627,1.37%,13.86%,0.025782904,5883,80,815,,,,,
Apr-14,2014,226034,3021,31219,1.34%,13.81%,0.025782904,5828,78,805,,,,,
May-14,2014,223568,3073,30790,1.37%,13.77%,0.025782904,5764,79,794,,,,,
Jun-14,2014,226179,3196,31047,1.41%,13.73%,0.025782904,5832,82,800,,,,,
Jul-14,2014,222296,3201,30456,1.44%,13.70%,0.025782904,5731,83,785,,,,,
Aug-14,2014,226314,3208,30426,1.42%,13.44%,0.025782904,5835,83,784,,,,,
Sep-14,2014,228301,3217,30636,1.41%,13.42%,0.025782904,5886,83,790,,,,,
Oct-14,2014,226494,3147,30579,1.39%,13.50%,0.025782904,5840,81,788,,,,,
Nov-14,2014,222364,3024,30087,1.36%,13.53%,0.025782904,5733,78,776,,,,,
Dec-14,2014,206463,2862,27616,1.39%,13.38%,0.025782904,5323,74,712,,,,,
Jan-15,2015,255076,3566,34136,1.40%,13.38%,0.025602474,6531,91,874,,,,,
Feb-15,2015,229482,3178,31141,1.38%,13.57%,0.025602474,5875,81,797,,,,,
Mar-15,2015,229078,3148,31280,1.37%,13.65%,0.025602474,5865,81,801,,,,,
Apr-15,2015,231205,3129,31500,1.35%,13.62%,0.025602474,5919,80,806,,,,,
May-15,2015,225203,3081,30855,1.37%,13.70%,0.025602474,5766,79,790,,,,,
Jun-15,2015,233932,3167,31819,1.35%,13.60%,0.025602474,5989,81,815,,,,,
Jul-15,2015,237789,3146,32047,1.32%,13.48%,0.025602474,6088,81,820,,,,,
Aug-15,2015,234443,3166,31277,1.35%,13.34%,0.025602474,6002,81,801,,,,,
Sep-15,2015,240180,3110,32356,1.29%,13.47%,0.025602474,6149,80,828,,,,,
Oct-15,2015,243295,3154,32576,1.30%,13.39%,0.025602474,6229,81,834,,,,,
Nov-15,2015,237442,3089,32406,1.30%,13.65%,0.025602474,6079,79,830,,,,,
Dec-15,2015,226600,3130,30885,1.38%,13.63%,0.025602474,5802,80,791,,,,,
Jan-16,2016,258819,3511,35068,1.36%,13.55%,0.025370535,6566,89,890,,,,,
Feb-16,2016,240991,3107,33147,1.29%,13.75%,0.025370535,6114,79,841,,,,,
Mar-16,2016,236403,3076,32714,1.30%,13.84%,0.025370535,5998,78,830,,,,,
Apr-16,2016,243949,3151,34103,1.29%,13.98%,0.025370535,6189,80,865,,,,,
May-16,2016,255126,3445,35238,1.35%,13.81%,0.025370535,6473,87,894,,,,,
Jun-16,2016,216685,2851,30050,1.32%,13.87%,0.025370535,5497,72,762,,,,,
Jul-16,2016,261522,3499,37389,1.34%,14.30%,0.025370535,6635,89,949,,,,,
Aug-16,2016,248127,3168,35041,1.28%,14.12%,0.025370535,6295,80,889,,,,,
Sep-16,2016,254889,3305,36516,1.30%,14.33%,0.025370535,6467,84,926,,,,,
Oct-16,2016,245430,3335,35187,1.36%,14.34%,0.025370535,6227,85,893,,,,,
Nov-16,2016,253205,3287,36048,1.30%,14.24%,0.025370535,6424,83,915,,,,,
Dec-16,2016,261125,3305,36727,1.27%,14.06%,0.025370535,6625,84,932,,,,,
Jan-17,2017,262233,3287,36522,1.25%,13.93%,0.025233263,6617,83,922,,,,,
Feb-17,2017,259762,3368,36717,1.30%,14.13%,0.025233263,6555,85,926,,,,,
Mar-17,2017,261882,3233,36922,1.23%,14.10%,0.025233263,6608,82,932,,,,,
Apr-17,2017,261384,3180,36738,1.22%,14.06%,0.025233263,6596,80,927,,,,,
May-17,2017,261688,3201,37267,1.22%,14.24%,0.025233263,6603,81,940,,,,,
Jun-17,2017,267687,3240,37533,1.21%,14.02%,0.025233263,6755,82,947,,,,,
Jul-17,2017,267755,3290,38040,1.23%,14.21%,0.025233263,6756,83,960,,,,,
Aug-17,2017,269557,3162,38324,1.17%,14.22%,0.025233263,6802,80,967,,,,,
Sep-17,2017,260363,3206,36344,1.23%,13.96%,0.025233263,6570,81,917,,,,,
Oct-17,2017,272887,3303,38365,1.21%,14.06%,0.025233263,6886,83,968,,,,,
Nov-17,2017,282409,3436,40009,1.22%,14.17%,0.025233263,7126,87,1010,,,,,
Dec-17,2017,269327,3233,37719,1.20%,14.00%,0.025233263,6796,82,952,,,,,
Jan-18,2018,295584,3514,39614,1.19%,13.40%,0.025190532,7446,89,998,,,,,
Feb-18,2018,285084,3312,39202,1.16%,13.75%,0.025190532,7181,83,988,,,,,
Mar-18,2018,289372,3419,39567,1.18%,13.67%,0.025190532,7289,86,997,,,,,
Apr-18,2018,285535,3297,38794,1.15%,13.59%,0.025190532,7193,83,977,,,,,
May-18,2018,293321,3358,39718,1.14%,13.54%,0.025190532,7389,85,1001,,,,,
Jun-18,2018,296691,3426,40154,1.15%,13.53%,0.025190532,7474,86,1012,,,,,
Jul-18,2018,291092,3367,39689,1.16%,13.63%,0.025190532,7333,85,1000,,,,,
Aug-18,2018,296025,3575,40510,1.21%,13.68%,0.025190532,7457,90,1020,,,,,
Sep-18,2018,290426,3689,41465,1.27%,14.28%,0.025190532,7316,93,1045,,,,,
Oct-18,2018,286102,3434,41514,1.20%,14.51%,0.025190532,7207,87,1046,,,,,
Nov-18,2018,291111,3438,41449,1.18%,14.24%,0.025190532,7333,87,1044,,,,,
Dec-18,2018,298879,3476,43038,1.16%,14.40%,0.025190532,7529,88,1084,,,,,
Jan-19,2019,275966,3332,38246,1.21%,13.86%,0.024710788,6819,82,945,,,,,
Feb-19,2019,298710,3499,43337,1.17%,14.51%,0.024710788,7381,86,1071,,,,,
Mar-19,2019,301111,3603,44840,1.20%,14.89%,0.024710788,7441,89,1108,,,,,
Apr-19,2019,292881,3843,43967,1.31%,15.01%,0.024710788,7237,95,1086,,,,,
May-19,2019,287522,3922,42966,1.36%,14.94%,0.024710788,7105,97,1062,,,,,
Jun-19,2019,290601,3964,43386,1.36%,14.93%,0.024710788,7181,98,1072,,,,,
Jul-19,2019,280515,3733,42054,1.33%,14.99%,0.024710788,6932,92,1039,,,,,
Aug-19,2019,291942,3923,44095,1.34%,15.10%,0.024710788,7214,97,1090,,,,,
Sep-19,2019,291100,3760,43492,1.29%,14.94%,0.024710788,7193,93,1075,,,,,
Oct-19,2019,297647,3982,45015,1.34%,15.12%,0.024710788,7355,98,1112,,,,,
Nov-19,2019,294308,3861,43320,1.31%,14.72%,0.024710788,7273,95,1070,,,,,
Dec-19,2019,315189,3737,48256,1.19%,15.31%,0.024710788,7789,92,1192,,,,,
Jan-20,2020,282444,3495,38578,1.24%,13.66%,0.021479915,6067,75,829,,,,,
Feb-20,2020,303081,3778,43206,1.25%,14.26%,0.021479915,6510,81,928,,,,,
Mar-20,2020,259288,3563,36891,1.37%,14.23%,0.021479915,5569,77,792,,,,,
Apr-20,2020,235695,3272,41640,1.39%,17.67%,0.021479915,5063,70,894,,,,,
May-20,2020,298417,4382,65346,1.47%,21.90%,0.021479915,6410,94,1404,,,,,
Jun-20,2020,376646,5426,79122,1.44%,21.01%,0.021479915,8090,117,1700,,,,,
Jul-20,2020,546415,7209,117930,1.32%,21.58%,0.021479915,11737,155,2533,,,,,
Aug-20,2020,484732,5910,99374,1.22%,20.50%,0.021479915,10412,127,2135,,,,,
Sep-20,2020,434127,5137,85869,1.18%,19.78%,0.021479915,9325,110,1844,,,,,
Oct-20,2020,410655,4808,80512,1.17%,19.61%,0.021479915,8821,103,1729,,,,,
Nov-20,2020,397374,4614,77101,1.16%,19.40%,0.021479915,8536,99,1656,,,,,
Dec-20,2020,351569,3842,70504,1.09%,20.05%,0.021479915,7552,83,1514,,,,,
Jan-21,2021,488131,5322,94513,1.09%,19.36%,0.020643854,10077,110,1951,,,,,
Feb-21,2021,432858,4738,86517,1.09%,19.99%,0.020643854,8936,98,1786,,,,,
Mar-21,2021,449486,4921,85976,1.09%,19.13%,0.020643854,9279,102,1775,,,,,
Apr-21,2021,498780,4998,97082,1.00%,19.46%,0.020643854,10297,103,2004,,,,,
May-21,2021,505120,5146,94197,1.02%,18.65%,0.020643854,10428,106,1945,,,,,
Jun-21,2021,445055,4710,76985,1.06%,17.30%,0.020643854,9188,97,1589,,,,,
Jul-21,2021,443173,4726,76122,1.07%,17.18%,0.020643854,9149,98,1571,,,,,
Aug-21,2021,427899,4686,74806,1.10%,17.48%,0.020643854,8833,97,1544,,,,,
Sep-21,2021,428542,4729,75319,1.10%,17.58%,0.020643854,8847,98,1555,,,,,
Oct-21,2021,428180,4782,72371,1.12%,16.90%,0.020643854,8839,99,1494,,,,,
Nov-21,2021,434368,4865,71864,1.12%,16.54%,0.020643854,8967,100,1484,,,,,
Dec-21,2021,428051,4599,75913,1.07%,17.73%,0.020643854,8837,95,1567,,,,,
Jan-22,2022,436130,4520,81318,1.04%,18.65%,0.022941715,10006,104,1866,,,,,
Feb-22,2022,424993,4362,81926,1.03%,19.28%,0.022941715,9750,100,1880,,,,,
Mar-22,2022,413451,4253,76993,1.03%,18.62%,0.022941715,9485,98,1766,,,,,
Apr-22,2022,433922,4331,74886,1.00%,17.26%,0.022941715,9955,99,1718,,,,,
May-22,2022,428999,4541,68636,1.06%,16.00%,0.022941715,9842,104,1575,,,,,
Jun-22,2022,405805,4494,63161,1.11%,15.56%,0.022941715,9310,103,1449,,,,,
Jul-22,2022,423821,4679,68286,1.10%,16.11%,0.022941715,9723,107,1567,,,,,
Aug-22,2022,419403,4631,68548,1.10%,16.34%,0.022941715,9622,106,1573,,,,,
Sep-22,2022,423488,4687,71643,1.11%,16.92%,0.022941715,9716,108,1644,,,,,
Oct-22,2022,429760,4588,70535,1.07%,16.41%,0.022941715,9859,105,1618,,,,,
Nov-22,2022,419558,4394,69904,1.05%,16.66%,0.022941715,9625,101,1604,,,,,
Dec-22,2022,423977,4467,71411,1.05%,16.84%,0.022941715,9727,102,1638,,,,,
Jan-23,2023,427394,4302,68409,1.01%,16.01%,0.025480353,10890,110,1743,,,,,
Feb-23,2023,441899,4428,71272,1.00%,16.13%,0.025480353,11260,113,1816,,,,,
Mar-23,2023,454238,4510,74840,0.99%,16.48%,0.025480353,11574,115,1907,,,,,
Apr-23,2023,444315,4258,70660,0.96%,15.90%,0.025480353,11321,108,1800,,,,,
May-23,2023,446876,5339,72238,1.19%,16.17%,0.025480353,11387,136,1841,,,,,
Jun-23,2023,467484,7815,74799,1.67%,16.00%,0.025480353,11912,199,1906,,,,,
Jul-23,2023,478209,6903,80292,1.44%,16.79%,0.025480353,12185,176,2046,,,,,
Aug-23,2023,466465,5952,81320,1.28%,17.43%,0.025480353,11886,152,2072,,,,,
Sep-23,2023,471672,9893,98922,2.10%,20.97%,0.025480353,12018,252,2521,,,,,
Oct-23,2023,471030,19150,98790,4.07%,20.97%,0.025480353,12002,488,2517,,,,,
Nov-23,2023,460523,5898,97106,1.28%,21.09%,0.025480353,11734,150,2474,,,,,
Dec-23,2023,449039,5231,85108,1.16%,18.95%,0.025480353,11442,133,2169,,,,,
Jan-24,2024,453575,8275,82393,1.82%,18.17%,0.025008978,11343,207,2061,,,,,
Feb-24,2024,441493,9674,73720,2.19%,16.70%,0.025008978,11041,242,1844,,,,,
Mar-24,2024,429212,6252,78056,1.46%,18.19%,0.025008978,10734,156,1952,,,,,
Apr-24,2024,427687,4479,84237,1.05%,19.70%,0.025008978,10696,112,2107,,,,,
May-24,2024,423172,3913,79590,0.92%,18.81%,0.025008978,10583,98,1990,,,,,
Jun-24,2024,428634,3779,78493,0.88%,18.31%,0.025008978,10720,95,1963,,,,,
Jul-24,2024,423224,3850,73712,0.91%,17.42%,0.025008978,10584,96,1843,,,,,
Aug-24,2024,432604,3796,70574,0.88%,16.31%,0.025008978,10819,95,1765,,,,,
Sep-24,2024,427131,3593,69963,0.84%,16.38%,0.025008978,10682,90,1750,,,,,
Oct-24,2024,426474,3551,74651,0.83%,17.50%,0.025008978,10666,89,1867,,,,,
Nov-24,2024,447184,3740,86023,0.84%,19.24%,0.025008978,11184,94,2151,,,,,
Dec-24,2024,456020,3916,77667,0.86%,17.03%,0.025008978,11405,98,1942,,,,,
Jan-25,2025,393232,3415,64788,0.87%,16.48%,,,,,,,,,
Feb-25,2025,426241,3588,71465,0.84%,16.77%,,,,,,,,,
Mar-25,2025,453869,3619,88321,0.80%,19.46%,,,,,,,,,
Apr-25,2025,451009,3589,84782,0.80%,18.80%,,,,,,,,,
May-25,2025,447452,3572,82399,0.80%,18.42%,,,,,,,,,
Jun-25,2025,457407,3688,87436,0.81%,19.12%,,,,,,,,,
